datetime,count
2011-01-20 00:00:00,21.6
2011-01-20 01:00:00,54.0
2011-01-20 02:00:00,52.7
2011-01-20 03:00:00,22.4
2011-01-20 04:00:00,50.7
2011-01-20 05:00:00,42.0
2011-01-20 06:00:00,44.7
2011-01-20 07:00:00,44.7
2011-01-20 08:00:00,52.3
2011-01-20 09:00:00,55.0
2011-01-20 10:00:00,76.6
2011-01-20 11:00:00,96.6
2011-01-20 12:00:00,100.7
2011-01-20 13:00:00,121.6
2011-01-20 14:00:00,130.9
2011-01-20 15:00:00,140.6
2011-01-20 16:00:00,128.0
2011-01-20 17:00:00,122.9
2011-01-20 18:00:00,143.1
2011-01-20 19:00:00,97.9
2011-01-20 20:00:00,130.0
2011-01-20 21:00:00,115.0
2011-01-20 22:00:00,111.3
2011-01-20 23:00:00,111.7
2011-01-21 00:00:00,33.9
2011-01-21 01:00:00,33.9
2011-01-21 02:00:00,17.4
2011-01-21 03:00:00,16.2
2011-01-21 04:00:00,44.4
2011-01-21 05:00:00,37.2
2011-01-21 06:00:00,46.1
2011-01-21 07:00:00,34.3
2011-01-21 08:00:00,53.0
2011-01-21 09:00:00,53.0
2011-01-21 10:00:00,63.1
2011-01-21 11:00:00,56.8
2011-01-21 12:00:00,82.3
2011-01-21 13:00:00,86.3
2011-01-21 14:00:00,65.4
2011-01-21 15:00:00,79.4
2011-01-21 16:00:00,73.4
2011-01-21 17:00:00,71.3
2011-01-21 18:00:00,77.1
2011-01-21 19:00:00,80.8
2011-01-21 20:00:00,69.4
2011-01-21 21:00:00,75.0
2011-01-21 22:00:00,66.4
2011-01-21 23:00:00,69.0
2011-01-22 00:00:00,30.8
2011-01-22 01:00:00,12.8
2011-01-22 02:00:00,18.2
2011-01-22 03:00:00,21.4
2011-01-22 04:00:00,21.4
2011-01-22 06:00:00,17.0
2011-01-22 07:00:00,70.0
2011-01-22 08:00:00,71.7
2011-01-22 09:00:00,71.5
2011-01-22 10:00:00,19.3
2011-01-22 11:00:00,27.8
2011-01-22 12:00:00,28.3
2011-01-22 13:00:00,48.4
2011-01-22 14:00:00,80.1
2011-01-22 15:00:00,49.5
2011-01-22 16:00:00,86.0
2011-01-22 17:00:00,66.8
2011-01-22 18:00:00,86.0
2011-01-22 19:00:00,76.0
2011-01-22 20:00:00,67.0
2011-01-22 21:00:00,62.9
2011-01-22 22:00:00,41.2
2011-01-22 23:00:00,49.2
2011-01-23 00:00:00,20.2
2011-01-23 01:00:00,23.1
2011-01-23 02:00:00,19.6
2011-01-23 03:00:00,20.0
2011-01-23 05:00:00,8.1
2011-01-23 06:00:00,9.0
2011-01-23 07:00:00,42.0
2011-01-23 08:00:00,44.7
2011-01-23 09:00:00,70.9
2011-01-23 10:00:00,83.9
2011-01-23 11:00:00,83.7
2011-01-23 12:00:00,74.4
2011-01-23 13:00:00,86.0
2011-01-23 14:00:00,91.6
2011-01-23 15:00:00,88.1
2011-01-23 16:00:00,90.4
2011-01-23 17:00:00,76.7
2011-01-23 18:00:00,87.2
2011-01-23 19:00:00,80.0
2011-01-23 20:00:00,81.5
2011-01-23 21:00:00,81.5
2011-01-23 22:00:00,71.7
2011-01-23 23:00:00,74.3
2011-01-24 00:00:00,6.2
2011-01-24 01:00:00,18.4
2011-01-24 03:00:00,39.9
2011-01-24 04:00:00,29.0
2011-01-24 05:00:00,40.6
2011-01-24 06:00:00,48.9
2011-01-24 07:00:00,38.0
2011-01-24 08:00:00,48.5
2011-01-24 09:00:00,55.5
2011-01-24 10:00:00,85.9
2011-01-24 11:00:00,56.9
2011-01-24 12:00:00,64.5
2011-01-24 13:00:00,72.4
2011-01-24 14:00:00,63.9
2011-01-24 15:00:00,103.2
2011-01-24 16:00:00,84.6
2011-01-24 17:00:00,86.1
2011-01-24 18:00:00,106.9
2011-01-24 19:00:00,98.6
2011-01-24 20:00:00,104.2
2011-01-24 21:00:00,96.2
2011-01-24 22:00:00,62.5
2011-01-24 23:00:00,83.0
2011-01-25 00:00:00,24.2
2011-01-25 01:00:00,32.9
2011-01-25 02:00:00,37.6
2011-01-25 04:00:00,29.6
2011-01-25 05:00:00,43.9
2011-01-25 06:00:00,38.4
2011-01-25 07:00:00,44.0
2011-01-25 08:00:00,63.9
2011-01-25 09:00:00,67.7
2011-01-25 10:00:00,73.1
2011-01-25 11:00:00,77.7
2011-01-25 12:00:00,92.7
2011-01-25 13:00:00,93.5
2011-01-25 14:00:00,95.2
2011-01-25 15:00:00,92.6
2011-01-25 16:00:00,100.1
2011-01-25 17:00:00,125.5
2011-01-25 18:00:00,135.8
2011-01-25 19:00:00,85.3
2011-01-25 20:00:00,101.3
2011-01-25 21:00:00,101.3
2011-01-25 22:00:00,100.5
2011-01-25 23:00:00,67.6
2011-01-26 00:00:00,30.8
2011-01-26 01:00:00,40.2
2011-01-26 02:00:00,20.8
2011-01-26 05:00:00,21.7
2011-01-26 06:00:00,27.5
2011-01-26 07:00:00,27.5
2011-01-26 08:00:00,39.3
2011-01-26 09:00:00,39.3
2011-01-26 10:00:00,39.3
2011-01-26 11:00:00,42.3
2011-01-26 12:00:00,46.6
2011-01-26 13:00:00,46.6
2011-01-26 14:00:00,55.1
2011-01-26 15:00:00,51.2
2011-01-26 16:00:00,47.1
2011-01-26 17:00:00,59.5
2011-01-27 16:00:00,108.0
2011-01-27 17:00:00,130.3
2011-01-27 18:00:00,108.7
2011-01-27 19:00:00,120.1
2011-01-27 20:00:00,93.1
2011-01-27 21:00:00,89.4
2011-01-27 22:00:00,84.2
2011-01-27 23:00:00,87.2
2011-01-28 00:00:00,36.3
2011-01-28 01:00:00,36.3
2011-01-28 02:00:00,52.5
2011-01-28 03:00:00,52.6
2011-01-28 05:00:00,52.2
2011-01-28 06:00:00,54.1
2011-01-28 07:00:00,35.6
2011-01-28 08:00:00,35.6
2011-01-28 09:00:00,41.4
2011-01-28 10:00:00,50.8
2011-01-28 11:00:00,50.8
2011-01-28 12:00:00,50.8
2011-01-28 13:00:00,50.8
2011-01-28 14:00:00,53.5
2011-01-28 15:00:00,55.4
2011-01-28 16:00:00,88.3
2011-01-28 17:00:00,130.1
2011-01-28 18:00:00,109.1
2011-01-28 19:00:00,74.4
2011-01-28 20:00:00,70.9
2011-01-28 21:00:00,74.4
2011-01-28 22:00:00,75.2
2011-01-28 23:00:00,94.5
2011-01-29 00:00:00,21.4
2011-01-29 01:00:00,25.9
2011-01-29 02:00:00,22.4
2011-01-29 03:00:00,21.4
2011-01-29 04:00:00,19.3
2011-01-29 06:00:00,25.4
2011-01-29 07:00:00,21.4
2011-01-29 08:00:00,50.9
2011-01-29 09:00:00,33.9
2011-01-29 10:00:00,18.9
2011-01-29 11:00:00,27.2
2011-01-29 12:00:00,95.9
2011-01-29 13:00:00,99.5
2011-01-29 14:00:00,82.2
2011-01-29 15:00:00,66.7
2011-01-29 16:00:00,71.6
2011-01-29 17:00:00,58.7
2011-01-29 18:00:00,62.6
2011-01-29 19:00:00,96.0
2011-01-29 20:00:00,69.7
2011-01-29 21:00:00,72.5
2011-01-29 22:00:00,66.1
2011-01-29 23:00:00,57.9
2011-01-30 00:00:00,17.3
2011-01-30 01:00:00,22.8
2011-01-30 02:00:00,26.8
2011-01-30 03:00:00,36.1
2011-01-30 04:00:00,37.8
2011-01-30 05:00:00,37.8
2011-01-30 07:00:00,56.0
2011-01-30 08:00:00,18.0
2011-01-30 09:00:00,7.9
2011-01-30 10:00:00,18.0
2011-01-30 11:00:00,57.6
2011-01-30 12:00:00,67.7
2011-01-30 13:00:00,54.1
2011-01-30 14:00:00,73.8
2011-01-30 15:00:00,58.9
2011-01-30 16:00:00,68.7
2011-01-30 17:00:00,81.1
2011-01-30 18:00:00,75.2
2011-01-30 19:00:00,81.3
2011-01-30 20:00:00,101.5
2011-01-30 21:00:00,79.2
2011-01-30 22:00:00,81.3
2011-01-30 23:00:00,75.0
2011-01-31 00:00:00,27.8
2011-01-31 01:00:00,23.2
2011-01-31 02:00:00,23.8
2011-01-31 03:00:00,25.6
2011-01-31 04:00:00,42.1
2011-01-31 05:00:00,56.3
2011-01-31 06:00:00,58.1
2011-01-31 07:00:00,52.1
2011-01-31 08:00:00,70.5
2011-01-31 09:00:00,69.3
2011-01-31 10:00:00,70.2
2011-01-31 11:00:00,70.2
2011-01-31 12:00:00,73.1
2011-01-31 13:00:00,79.2
2011-01-31 14:00:00,75.8
2011-01-31 15:00:00,73.3
2011-01-31 16:00:00,78.5
2011-01-31 17:00:00,66.5
2011-01-31 18:00:00,77.4
2011-01-31 19:00:00,99.2
2011-01-31 20:00:00,72.2
2011-01-31 21:00:00,72.0
2011-01-31 22:00:00,72.4
2011-01-31 23:00:00,72.4
2011-02-20 00:00:00,32.8
2011-02-20 01:00:00,48.4
2011-02-20 02:00:00,53.4
