datetime,count
2011-01-20 00:00:00,221.4
2011-01-20 01:00:00,104.0
2011-01-20 02:00:00,114.0
2011-01-20 03:00:00,150.9
2011-01-20 04:00:00,121.8
2011-01-20 05:00:00,123.2
2011-01-20 06:00:00,94.4
2011-01-20 07:00:00,122.4
2011-01-20 08:00:00,101.7
2011-01-20 09:00:00,124.6
2011-01-20 10:00:00,149.9
2011-01-20 11:00:00,116.9
2011-01-20 12:00:00,133.3
2011-01-20 13:00:00,127.5
2011-01-20 14:00:00,117.4
2011-01-20 15:00:00,120.4
2011-01-20 16:00:00,117.4
2011-01-20 17:00:00,117.6
2011-01-20 18:00:00,117.4
2011-01-20 19:00:00,119.0
2011-01-20 20:00:00,119.0
2011-01-20 21:00:00,107.9
2011-01-20 22:00:00,88.9
2011-01-20 23:00:00,88.9
2011-01-21 00:00:00,117.3
2011-01-21 01:00:00,117.3
2011-01-21 02:00:00,81.2
2011-01-21 03:00:00,93.4
2011-01-21 04:00:00,79.4
2011-01-21 05:00:00,154.7
2011-01-21 06:00:00,123.8
2011-01-21 07:00:00,107.2
2011-01-21 08:00:00,115.5
2011-01-21 09:00:00,115.5
2011-01-21 10:00:00,119.2
2011-01-21 11:00:00,127.2
2011-01-21 12:00:00,189.3
2011-01-21 13:00:00,189.3
2011-01-21 14:00:00,132.8
2011-01-21 15:00:00,132.8
2011-01-21 16:00:00,115.7
2011-01-21 17:00:00,115.7
2011-01-21 18:00:00,120.1
2011-01-21 19:00:00,114.6
2011-01-21 20:00:00,105.0
2011-01-21 21:00:00,88.4
2011-01-21 22:00:00,87.6
2011-01-21 23:00:00,85.7
2011-01-22 00:00:00,88.7
2011-01-22 01:00:00,107.5
2011-01-22 02:00:00,91.2
2011-01-22 03:00:00,91.2
2011-01-22 04:00:00,91.8
2011-01-22 06:00:00,85.6
2011-01-22 07:00:00,78.0
2011-01-22 08:00:00,78.1
2011-01-22 09:00:00,89.6
2011-01-22 10:00:00,89.0
2011-01-22 11:00:00,117.5
2011-01-22 12:00:00,117.5
2011-01-22 13:00:00,122.8
2011-01-22 14:00:00,107.1
2011-01-22 15:00:00,122.8
2011-01-22 16:00:00,127.1
2011-01-22 17:00:00,122.8
2011-01-22 18:00:00,116.4
2011-01-22 19:00:00,110.6
2011-01-22 20:00:00,109.1
2011-01-22 21:00:00,117.6
2011-01-22 22:00:00,87.0
2011-01-22 23:00:00,79.4
2011-01-23 00:00:00,71.9
2011-01-23 01:00:00,81.2
2011-01-23 02:00:00,85.5
2011-01-23 03:00:00,85.5
2011-01-23 05:00:00,92.5
2011-01-23 06:00:00,92.5
2011-01-23 07:00:00,95.7
2011-01-23 08:00:00,95.7
2011-01-23 09:00:00,68.9
2011-01-23 10:00:00,78.1
2011-01-23 11:00:00,115.1
2011-01-23 12:00:00,93.1
2011-01-23 13:00:00,105.0
2011-01-23 14:00:00,105.0
2011-01-23 15:00:00,105.0
2011-01-23 16:00:00,106.5
2011-01-23 17:00:00,105.5
